Fecha,Temperatura
2024-02-01,22.4
2024-02-02,19.6
2024-02-03,19.7
2024-02-04,26.3
2024-02-05,22.9
2024-02-06,18.1
2024-02-07,18.4
2024-02-08,19.3
2024-02-09,23.0
2024-02-10,21.3
2024-02-11,18.0
2024-02-12,18.4
2024-02-13,24.5
2024-02-14,25.9
2024-02-15,25.8
2024-02-16,20.3
2024-02-17,17.7
2024-02-18,19.2
2024-02-19,26.4
2024-02-20,21.0
2024-02-21,15.9
2024-02-22,17.3
2024-02-23,15.5
2024-02-24,18.6
2024-02-25,21.0
2024-02-26,17.1
2024-02-27,17.7
2024-02-28,18.2
2024-02-29,18.3
2024-03-01,20.4
2024-03-02,17.0
2024-03-03,16.9
2024-03-04,20.5
2024-03-05,19.6
2024-03-06,15.8
2024-03-07,17.0
2024-03-08,14.7
2024-03-09,15.1
2024-03-10,17.4
2024-03-11,15.9
2024-03-12,15.7
2024-03-13,15.1
2024-03-14,14.5
2024-03-15,15.4
2024-03-16,14.3
2024-03-17,15.3
2024-03-18,15.0
2024-03-19,14.4
2024-03-20,13.4
2024-03-21,13.8
2024-03-22,14.0
2024-03-23,17.4
2024-03-24,17.9
2024-03-25,18.3
2024-03-26,16.3
2024-03-27,18.6
2024-03-28,18.8
2024-03-29,15.2
2024-03-30,14.0
2024-03-31,13.2
2024-04-01,14.3
2024-04-02,13.8
2024-04-03,11.4
2024-04-04,15.0
2024-04-05,14.1
2024-04-06,13.3
2024-04-07,11.1
2024-04-08,11.8
2024-04-09,11.9
2024-04-10,15.3
2024-04-11,17.1
2024-04-12,16.4
2024-04-13,19.0
2024-04-14,19.9
2024-04-15,14.6
2024-04-16,14.9
2024-04-17,14.1
2024-04-18,13.5
2024-04-19,12.3
2024-04-20,11.6
2024-04-21,11.2
2024-04-22,13.3
2024-04-23,12.1
2024-04-24,11.7
2024-04-25,12.3
2024-04-26,8.7
2024-04-27,10.5
2024-04-28,12.2
2024-04-29,9.8
2024-04-30,9.5
2024-05-01,9.6
2024-05-02,9.3
2024-05-03,11.3
2024-05-04,6.0
2024-05-05,7.1
2024-05-06,6.2
2024-05-07,9.2
2024-05-08,9.3
2024-05-09,10.8
2024-05-10,10.8
2024-05-11,10.0
2024-05-12,8.8
2024-05-13,9.6
2024-05-14,9.2
2024-05-15,16.3
2024-05-16,10.3
2024-05-17,11.2
2024-05-18,9.1
2024-05-19,8.7
