,Grupo de edad,Sexo,Fecha,Contagios
0,00 - 04 años,M,2020-03-25,4
1,05 - 09 años,M,2020-03-25,2
2,10 - 14 años,M,2020-03-25,7
3,15 - 19 años,M,2020-03-25,8
4,20 - 24 años,M,2020-03-25,25
5,25 - 29 años,M,2020-03-25,61
6,30 - 34 años,M,2020-03-25,88
7,35 - 39 años,M,2020-03-25,72
8,40 - 44 años,M,2020-03-25,62
9,45 - 49 años,M,2020-03-25,47
10,50 - 54 años,M,2020-03-25,28
11,55 - 59 años,M,2020-03-25,30
12,60 - 64 años,M,2020-03-25,18
13,65 - 69 años,M,2020-03-25,14
14,70 - 74 años,M,2020-03-25,16
15,75 - 79 años,M,2020-03-25,8
16,80 y más años,M,2020-03-25,6
17,00 - 04 años,F,2020-03-25,6
18,05 - 09 años,F,2020-03-25,4
19,10 - 14 años,F,2020-03-25,2
20,15 - 19 años,F,2020-03-25,12
21,20 - 24 años,F,2020-03-25,43
22,25 - 29 años,F,2020-03-25,65
23,30 - 34 años,F,2020-03-25,80
24,35 - 39 años,F,2020-03-25,79
25,40 - 44 años,F,2020-03-25,63
26,45 - 49 años,F,2020-03-25,48
27,50 - 54 años,F,2020-03-25,33
28,55 - 59 años,F,2020-03-25,28
29,60 - 64 años,F,2020-03-25,27
30,65 - 69 años,F,2020-03-25,10
31,70 - 74 años,F,2020-03-25,7
32,75 - 79 años,F,2020-03-25,7
33,80 y más años,F,2020-03-25,2
34,00 - 04 años,M,2020-03-26,5
35,05 - 09 años,M,2020-03-26,2
36,10 - 14 años,M,2020-03-26,8
37,15 - 19 años,M,2020-03-26,9
38,20 - 24 años,M,2020-03-26,32
39,25 - 29 años,M,2020-03-26,75
40,30 - 34 años,M,2020-03-26,106
41,35 - 39 años,M,2020-03-26,86
42,40 - 44 años,M,2020-03-26,71
43,45 - 49 años,M,2020-03-26,55
44,50 - 54 años,M,2020-03-26,45
45,55 - 59 años,M,2020-03-26,34
46,60 - 64 años,M,2020-03-26,26
47,65 - 69 años,M,2020-03-26,18
48,70 - 74 años,M,2020-03-26,21
49,75 - 79 años,M,2020-03-26,8
50,80 y más años,M,2020-03-26,9
